stem-- --------cpu--------
n   cs  us  sy  id  wa  st
9 59075   3   1  96   0   0
8 58953   3   1  96   0   0
8 59206   3   1  96   0   0
3 59639   2   1  97   0   0
2 58338   3   1  96   0   0
4 57652   2   1  97   0   0
2 58572   2   1  97   0   0
9 59391   3   1  96   0   0
2 58682   3   1  96   0   0
0 59539   2   1  96   0   0
1 58371   2   1  97   0   0
1 59458   2   1  96   0   0
3 59096   2   1  97   0   0
6 59257   2   1  97   0   0
1 59629   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 59488   2   1  97   0   0
7 59410   2   1  97   0   0
9 59580   3   1  96   0   0
7 59943   2   1  97   0   0
6 59226   2   1  97   0   0
0 60373   3   1  96   0   0
7 60363   3   2  96   0   0
2 58561   3   1  95   0   0
4 60266   2   1  97   0   0
8 59598   2   1  97   0   0
2 58548   3   1  96   0   0
7 60639   2   1  97   0   0
9 58962   3   1  96   0   0
7 60212   4   1  95   0   0
1 60006   2   1  96   0   0
1 60597   3   2  96   0   0
5 60389   4   1  95   0   0
5 61916   3   1  95   0   0
3 60267   3   2  95   0   0
6 60634   2   1  96   0   0
6 60526   3   2  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 60063   3   1  96   0   0
8 60409   3   1  96   0   0
1 60089   2   1  96   0   0
7 60385   3   1  95   0   0
3 60896   2   1  97   0   0
6 58911   3   1  96   0   0
8 60622   2   1  97   0   0
0 61089   2   1  96   0   0
4 59621   2   1  96   0   0
7 59439   3   1  96   0   0
2 59572   2   1  96   0   0
5 59022   2   1  96   0   0
9 58944   2   1  97   0   0
3 59443   2   1  96   0   0
0 59207   2   1  96   0   0
9 59663   2   1  97   0   0
8 59415   2   1  97   0   0
0 58664   2   2  96   0   0
8 59380   2   1  96   0   0
9 59044   2   1  96   0   0
9 58757   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 59445   2   1  97   0   0
9 58741   2   2  96   0   0
9 60003   3   1  96   0   0
8 59470   2   1  97   0   0
2 58482   2   1  97   0   0
5 60711   2   1  96   0   0
5 59943   2   1  97   0   0
5 59779   3   1  96   0   0
7 60490   2   1  97   0   0
4 59934   2   1  96   0   0
7 59415   3   1  96   0   0
1 60406   2   1  97   0   0
1 60419   4   1  95   0   0
5 59615   2   1  96   0   0
9 60866   3   1  95   0   0
1 60104   3   1  95   0   0
8 59645   4   1  94   0   0
4 60812   4   2  95   0   0
9 60608   3   1  96   0   0
0 61323   3   2  96   0   0
5 60820   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 59741   2   1  96   0   0
1 60519   2   1  97   0   0
8 59987   3   2  95   0   0
7 59850   3   1  96   0   0
2 60279   2   2  96   0   0
9 59965   2   1  96   0   0
3 58564   3   1  97   0   0
8 60461   3   1  96   0   0
7 60473   3   1  96   0   0
8 58919   2   1  97   0   0
9 59209   3   1  96   0   0
8 59413   2   1  96   0   0
8 58902   2   1  97   0   0
7 59676   2   1  96   0   0
9 58593   2   1  97   0   0
5 59342   2   1  97   0   0
2 59625   2   1  97   0   0
1 59129   2   1  97   0   0
4 58952   2   1  97   0   0
2 60087   2   1  97   0   0
9 58854   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 59183   2   1  97   0   0
9 59314   3   1  96   0   0
4 58861   2   1  96   0   0
1 59782   2   1  96   0   0
1 59177   2   1  97   0   0
1 59930   2   1  96   0   0
9 60690   3   1  96   0   0
7 59230   2   2  96   0   0
8 60274   3   1  96   0   0
1 59714   3   2  96   0   0
5 60594   2   2  96   0   0
7 60572   2   1  97   0   0
6 61234   3   1  96   0   0
3 58814   3   1  96   0   0
5 58850   3   1  96   0   0
2 59996   3   2  95   0   0
9 58926   3   1  96   0   0
7 59487   3   1  95   0   0
6 58744   4   1  95   0   0
8 59170   2   1  96   0   0
3 60118   3   2  95   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 58546   3   1  96   0   0
7 59025   3   1  96   0   0
4 59857   3   1  96   0   0
1 59428   3   2  96   0   0
5 58907   3   1  96   0   0
9 59867   3   2  95   0   0
7 58701   3   1  96   0   0
7 59171   2   1  97   0   0
8 59045   2   2  96   0   0
2 58400   2   1  97   0   0
2 58956   2   1  97   0   0
0 59333   2   1  97   0   0
6 57894   3   1  96   0   0
5 58539   2   1  96   0   0
5 59328   2   2  96   0   0
3 58803   2   1  97   0   0
6 58719   3   1  96   0   0
1 57783   2   1  97   0   0
6 58781   2   1  97   0   0
2 59016   2   1  96   0   0
3 57998   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 58444   2   1  97   0   0
4 60091   3   2  96   0   0
7 58010   2   1  97   0   0
8 59319   2   1  97   0   0
7 59011   2   2  96   0   0
5 60440   2   1  97   0   0
6 59155   3   1  96   0   0
3 59436   2   2  96   0   0
9 59230   2   1  97   0   0
3 60527   2   2  96   0   0
4 58688   2   1  97   0   0
0 59308   2   1  97   0   0
8 59208   3   1  96   0   0
7 58986   3   1  96   0   0
3 59659   2   1  96   0   0
3 59623   3   1  96   0   0
4 58378   3   2  96   0   0
8 59084   3   1  96   0   0
5 59114   2   1  96   0   0
4 58738   2   1  96   0   0
6 58882   3   1  95   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
3 59728   2   2  96   0   0
6 59127   3   1  96   0   0
5 59678   2   1  96   0   0
7 59461   2   1  97   0   0
5 58419   2   1  97   0   0
5 59548   2   1  96   0   0
8 59151   3   1  95   0   0
5 58953   3   1  96   0   0
8 59825   2   1  97   0   0
4 59102   3   1  96   0   0
2 59733   2   1  97   0   0
5 59539   2   1  96   0   0
9 58836   2   1  97   0   0
1 59721   2   2  96   0   0
0 58949   3   1  96   0   0
1 58959   2   2  97   0   0
0 59794   3   1  96   0   0
0 59960   2   1  97   0   0
5 59032   2   1  97   0   0
3 59132   2   1  97   0   0
9 59347   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 59796   3   1  96   0   0
6 58928   2   1  96   0   0
7 59713   3   1  96   0   0
8 59944   2   1  96   0   0
2 60461   2   1  96   0   0
3 59024   2   1  97   0   0
2 60438   2   1  97   0   0
7 59758   3   1  96   0   0
1 59833   2   1  97   0   0
9 59557   2   1  97   0   0
5 60478   3   2  96   0   0
0 59951   3   1  96   0   0
3 59998   3   1  96   0   0
6 61319   2   1  96   0   0
0 59809   4   1  95   0   0
7 60459   3   1  96   0   0
8 60494   3   1  96   0   0
9 60127   3   1  96   0   0
4 60811   3   1  96   0   0
4 59932   2   1  96   0   0
1 60701   2   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
3 59834   2   1  97   0   0
2 59474   3   1  96   0   0
2 61072   2   1  96   0   0
5 59929   3   1  96   0   0
7 59518   3   1  96   0   0
7 60398   3   1  96   0   0
0 60181   3   2  96   0   0
4 58743   2   2  96   0   0
3 59883   2   1  96   0   0
3 59022   2   1  96   0   0
0 60492   2   1  97   0   0
7 59393   2   1  96   0   0
6 58874   2   1  97   0   0
4 59261   2   1  97   0   0
4 59727   2   1  96   0   0
2 59012   2   1  97   0   0
0 58586   2   1  97   0   0
7 59878   2   1  97   0   0
4 58640   2   1  96   0   0
6 60236   2   1  96   0   0
4 59496   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 58348   2   1  97   0   0
3 60305   3   1  96   0   0
7 59658   2   2  97   0   0
5 59803   3   1  96   0   0
2 59605   3   1  96   0   0
1 59184   2   1  96   0   0
8 60427   3   1  96   0   0
5 60600   3   1  96   0   0
7 59439   2   1  96   0   0
0 59905   2   1  96   0   0
3 60420   4   1  95   0   0
8 59807   3   1  96   0   0
3 60979   3   2  95   0   0
2 60629   3   1  96   0   0
5 60402   2   1  97   0   0
2 60303   2   1  97   0   0
4 60341   3   1  95   0   0
7 59803   3   1  95   0   0
8 60457   2   1  96   0   0
6 60042   3   1  96   0   0
8 60329   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 60662   2   1  97   0   0
9 59582   2   1  96   0   0
6 59571   3   1  96   0   0
5 58690   2   1  97   0   0
6 58966   2   1  97   0   0
6 60206   3   1  96   0   0
3 59529   2   1  96   0   0
7 59046   2   1  97   0   0
9 60273   2   1  97   0   0
9 59836   3   1  96   0   0
6 59934   3   1  96   0   0
9 59903   2   1  96   0   0
6 59743   2   1  97   0   0
5 58295   2   1  97   0   0
9 60084   2   1  97   0   0
3 58785   2   1  97   0   0
7 60313   3   1  96   0   0
9 59849   2   1  97   0   0
9 59156   2   1  97   0   0
9 58290   2   1  96   0   0
5 59964   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
0 58497   3   1  96   0   0
2 59382   2   1  97   0   0
6 59213   2   1  96   0   0
8 58980   3   1  96   0   0
3 58941   3   1  96   0   0
0 58412   3   1  96   0   0
5 58663   3   2  95   0   0
7 59081   3   1  96   0   0
4 59435   2   1  96   0   0
5 58077   3   1  96   0   0
3 58788   3   2  96   0   0
1 58717   3   2  95   0   0
2 59694   2   1  97   0   0
0 59222   2   1  97   0   0
7 59273   3   1  96   0   0
5 59258   3   2  95   0   0
2 59691   4   1  95   0   0
5 57841   2   1  96   0   0
7 59293   2   1  96   0   0
6 59801   3   1  96   0   0
2 58957   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
5 59671   2   1  96   0   0
4 59896   3   1  96   0   0
4 58547   2   2  96   0   0
7 58931   2   1  96   0   0
4 58603   2   1  96   0   0
3 59328   2   1  97   0   0
7 59140   2   1  97   0   0
4 58661   2   1  97   0   0
5 57879   3   1  96   0   0
2 59188   2   1  96   0   0
9 58091   2   1  97   0   0
6 58514   2   2  97   0   0
1 59136   2   1  97   0   0
4 57956   2   1  97   0   0
4 59489   3   1  96   0   0
7 58657   2   1  97   0   0
8 57438   2   1  97   0   0
7 59299   3   1  96   0   0
8 58580   3   1  95   0   0
2 58664   2   1  96   0   0
1 58639   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
4 58121   2   1  96   0   0
5 59653   2   1  96   0   0
1 58642   2   1  97   0   0
9 58405   3   1  96   0   0
3 59186   3   1  96   0   0
5 59128   3   1  96   0   0
8 58281   2   1  96   0   0
0 59789   3   2  96   0   0
1 58894   2   2  96   0   0
6 58433   3   1  96   0   0
4 59289   3   1  95   0   0
2 59470   2   2  96   0   0
6 57812   2   1  97   0   0
2 59152   2   1  97   0   0
3 58755   2   1  96   0   0
5 58078   2   1  96   0   0
1 59637   3   1  96   0   0
0 59531   3   1  96   0   0
9 59326   3   1  96   0   0
0 58529   2   1  97   0   0
0 58486   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
0 59734   3   1  96   0   0
7 59183   3   1  96   0   0
4 59330   2   2  96   0   0
2 60123   3   2  95   0   0
3 59999   2   1  96   0   0
2 59179   2   1  97   0   0
5 60126   3   1  96   0   0
1 59572   2   1  97   0   0
8 59043   2   1  96   0   0
4 60353   2   1  96   0   0
5 58888   2   1  97   0   0
3 59677   3   1  96   0   0
5 59641   3   1  96   0   0
2 59577   2   1  96   0   0
3 59373   2   1  97   0   0
1 59419   3   1  96   0   0
0 59280   3   1  96   0   0
1 59554   3   1  96   0   0
9 60197   2   1  96   0   0
2 59416   3   1  96   0   0
6 60227   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 60549   3   1  96   0   0
8 59054   2   1  97   0   0
2 59630   2   1  97   0   0
1 61209   3   1  96   0   0
8 59513   3   1  96   0   0
5 59001   3   1  96   0   0
8 60270   2   1  97   0   0
6 60705   3   1  96   0   0
6 59573   2   1  96   0   0
2 59346   2   1  96   0   0
1 60032   3   2  96   0   0
3 60291   2   1  97   0   0
2 59821   3   2  95   0   0
3 60441   3   2  95   0   0
5 60931   3   1  96   0   0
1 60694   4   2  95   0   0
1 61201   3   1  95   0   0
1 61861   3   1  96   0   0
2 60243   3   2  96   0   0
0 62305   3   1  96   0   0
4 61896   3   2  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 62323   4   1  95   0   0
4 62460   3   2  96   0   0
1 63032   3   2  95   0   0
8 65592   3   2  95   0   0
6 64528   2   1  97   0   0
1 64311   3   1  96   0   0
3 66869   4   2  94   0   0
4 68314   4   2  95   0   0
8 71277   3   2  95   0   0
4 76715   3   2  95   0   0
57 82896   3   2  95   0   0
26 92990   2   2  95   0   0
59 389183   8  40  52   0   0
726 716728   2  46  51   0   0
353 723073   2  47  51   0   0
207 722537   2  47  51   0   0
125 720731   2  47  51   0   0
082 720188   2  47  51   0   0
1240 1198149   5   6  89   1   0
3479 1331442   3   3  93   1   0
4837 1349363   2   3  94   1   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2146 1341780   3   2  94   1   0
1301 1339452   3   2  94   1   0
3624 1343520   5   2  92   1   0
1293 1339602   2   2  95   1   0
9815 1336052   3   2  94   1   0
1894 1339643   4   2  93   1   0
8745 1333311   3   2  94   1   0
3835 1343119   4   2  93   1   0
9761 1355519   2   2  94   1   0
5398 1346416   4   2  93   1   0
3776 1343247   3   2  94   1   0
4687 1344422   3   2  93   1   0
5577 1346192   3   2  94   1   0
0281 1355318   3   3  93   1   0
7424 1349690   3   3  93   1   0
0495 1355317   4   3  93   1   0
4826 1364590   3   3  93   1   0
2690 1359851   3   3  94   1   0
0949 1357035   3   3  94   1   0
7616 1370256   3   3  94   1   0
4894 1363503   3   3  93   1   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2458 1359539   3   2  93   1   0
7781 1370473   3   2  94   1   0
5690 1366146   3   3  93   1   0
5446 1366140   2   2  95   1   0
3910 1362279   2   3  94   1   0
9335 1352689   4   3  92   1   0
9426 1373045   4   3  92   1   0
9268 1352584   3   3  94   1   0
2843 1360289   3   3  94   1   0
7264 1349725   4   2  93   1   0
6648 1367685   3   3  93   1   0
6228 1366071   2   3  94   1   0
4578 1363147   3   2  94   1   0
1551 1356893   3   2  94   1   0
8297 1370721   3   3  93   1   0
9391 1373085   3   3  93   1   0
7949 1370474   3   3  94   1   0
8011 1370019   3   3  94   1   0
9522 1372959   2   3  94   1   0
9398 1373449   3   3  93   1   0
9507 1372956   4   3  92   1   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
9225 1372153   2   3  94   1   0
4368 1362828   4   3  92   1   0
1904 1357020   4   3  93   1   0
0402 1373735   4   3  93   1   0
5169 1363840   4   3  92   1   0
5737 1365066   4   3  93   1   0
7594 1368962   3   3  93   1   0
9647 1352419   3   2  93   1   0
7272 1348513   4   2  93   1   0
6270 1367216   2   3  95   1   0
9725 1354089   3   2  94   1   0
4660 1363087   4   2  93   1   0
4566 1362772   4   2  93   1   0
5858 1366798   2   3  95   1   0
9437 1354969   2   3  95   1   0
7967 1368909   3   3  93   1   0
2714 1359483   3   2  94   1   0
6360 1367672   4   2  93   1   0
6379 1366805   3   2  93   1   0
3822 1361886   3   2  94   1   0
4422 1361718   4   2  93   1   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8061 1367889   4   2  93   1   0
4692 1364352   3   3  93   1   0
8873 1352464   3   2  94   1   0
4802 799374   3   2  94   1   0
