stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 57848   6   2  93   0   0
7 57745   6   1  93   0   0
4 57678   7   1  91   0   0
3 58127   6   2  92   0   0
5 57737   5   1  94   0   0
0 58279   6   1  92   0   0
7 57477   4   1  95   0   0
1 58494   4   1  95   0   0
2 57471   4   1  95   0   0
8 57258   3   1  95   0   0
2 57403   3   1  96   0   0
2 58605   3   1  96   0   0
3 57509   3   1  96   0   0
6 57507   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 58174   2   1  96   0   0
3 58068   2   1  97   0   0
5 57747   2   1  97   0   0
4 57913   2   1  96   0   0
1 58322   2   1  97   0   0
8 59580   2   1  97   0   0
6 58991   2   1  97   0   0
8 59235   2   1  96   0   0
6 59185   2   1  97   0   0
4 59948   2   1  97   0   0
8 60130   3   1  96   0   0
9 60390   2   1  97   0   0
8 60619   3   1  96   0   0
2 60845   3   1  96   0   0
7 60347   2   1  96   0   0
1 60398   3   1  95   0   0
0 60401   2   1  97   0   0
3 60690   2   1  97   0   0
4 61057   3   1  96   0   0
2 61606   3   1  96   0   0
2 61650   2   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
0 61476   3   1  96   0   0
2 60195   2   1  97   0   0
3 60409   2   1  97   0   0
3 60729   2   1  96   0   0
4 61024   2   1  96   0   0
5 60558   2   1  97   0   0
8 59696   3   2  96   0   0
7 60574   2   1  97   0   0
6 60643   2   1  97   0   0
5 59029   2   1  97   0   0
5 59199   2   1  97   0   0
1 59080   2   1  97   0   0
1 58549   2   1  97   0   0
4 58485   2   1  97   0   0
2 58013   2   1  97   0   0
9 58211   2   1  97   0   0
8 58059   2   1  97   0   0
2 58190   3   1  96   0   0
8 57958   2   1  97   0   0
8 58224   2   1  97   0   0
6 58474   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 57483   3   1  96   0   0
4 58050   2   1  97   0   0
6 58176   2   1  96   0   0
3 57797   2   1  96   0   0
3 58130   2   1  96   0   0
5 57650   2   1  97   0   0
9 58251   2   1  97   0   0
8 58286   2   1  97   0   0
2 58095   2   1  97   0   0
4 59431   2   1  96   0   0
5 59011   2   1  97   0   0
6 59388   2   1  96   0   0
0 58973   2   1  97   0   0
2 59341   3   1  96   0   0
5 60145   2   1  96   0   0
5 60031   3   1  96   0   0
1 59859   2   1  97   0   0
6 60168   2   1  97   0   0
0 61083   3   1  96   0   0
3 61041   3   2  96   0   0
8 60576   3   2  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
5 60223   3   1  96   0   0
6 61012   3   1  96   0   0
4 60666   3   1  96   0   0
0 60420   2   1  97   0   0
9 60294   3   2  96   0   0
5 60434   2   1  96   0   0
8 61184   3   1  95   0   0
1 60137   3   1  96   0   0
9 59959   3   2  95   0   0
9 60566   2   1  96   0   0
1 60642   3   2  95   0   0
5 60202   2   1  96   0   0
1 59951   2   1  97   0   0
6 60069   2   1  97   0   0
4 59530   3   1  97   0   0
9 58964   2   1  97   0   0
9 59558   2   1  96   0   0
4 59015   2   1  97   0   0
2 58550   2   1  97   0   0
6 58249   2   1  97   0   0
3 58159   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
0 58849   2   1  97   0   0
1 58313   2   1  97   0   0
4 57208   2   1  97   0   0
2 58018   2   1  97   0   0
0 57592   2   1  96   0   0
3 58365   2   1  97   0   0
0 57816   3   1  96   0   0
6 57984   2   1  97   0   0
8 58676   3   1  96   0   0
2 58376   2   1  97   0   0
8 57379   2   1  97   0   0
3 58182   2   1  97   0   0
5 58184   2   1  97   0   0
6 59247   2   1  96   0   0
9 58299   2   1  97   0   0
6 59041   2   1  97   0   0
5 58637   2   1  97   0   0
0 60126   2   1  96   0   0
1 59217   2   1  96   0   0
4 59858   2   1  96   0   0
2 59965   2   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
0 60806   2   1  97   0   0
2 60379   3   2  96   0   0
4 60557   2   1  96   0   0
1 60543   3   1  96   0   0
8 60517   2   1  97   0   0
9 60091   3   1  96   0   0
7 60314   3   1  96   0   0
9 60591   3   1  96   0   0
5 59566   4   1  95   0   0
7 59692   3   2  96   0   0
4 59911   2   1  97   0   0
8 59940   2   1  96   0   0
0 59900   3   1  96   0   0
6 59843   2   1  97   0   0
8 59428   3   1  96   0   0
2 58822   2   1  97   0   0
8 58676   2   1  96   0   0
7 58169   2   1  96   0   0
2 59001   2   1  96   0   0
1 58077   1   1  97   0   0
5 58223   2   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
2 57644   2   1  97   0   0
1 57847   2   1  97   0   0
1 57321   2   1  97   0   0
5 58113   2   1  97   0   0
6 57300   1   1  97   0   0
7 57611   2   1  97   0   0
3 57924   2   1  97   0   0
1 57983   2   1  97   0   0
4 57895   2   1  97   0   0
7 57126   2   1  97   0   0
2 58003   2   1  97   0   0
2 57844   2   1  97   0   0
9 57016   2   1  96   0   0
3 58192   2   1  97   0   0
8 57784   2   1  96   0   0
31 89874   2   1  96   0   0
79 114300   4   2  95   0   0
75 93536   3   1  96   0   0
7 66865   2   1  97   0   0
9 58103   3   1  96   0   0
8 58061   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 58653   2   1  97   0   0
3 58039   2   1  96   0   0
5 60191   2   1  97   0   0
0 58849   2   1  96   0   0
7 59293   2   2  96   0   0
0 58896   3   1  96   0   0
2 60839   2   1  97   0   0
0 69637   2   1  96   0   0
8 59772   2   1  97   0   0
7 59411   3   1  96   0   0
4 68189   3   1  96   0   0
