stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 58095   3   1  96   0   0
5 58399   2   1  97   0   0
0 58435   2   1  97   0   0
5 58367   3   1  96   0   0
5 57954   2   1  97   0   0
2 58121   2   1  97   0   0
1 58845   3   1  96   0   0
3 58687   2   1  96   0   0
6 58264   2   1  97   0   0
8 58393   2   1  97   0   0
3 58428   2   1  97   0   0
2 57544   3   1  96   0   0
0 57732   2   1  97   0   0
6 58086   2   1  96   0   0
6 58756   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
3 58245   2   1  97   0   0
1 58202   2   1  96   0   0
6 56939   2   1  97   0   0
4 58095   2   1  97   0   0
9 57963   2   1  97   0   0
5 58389   2   1  96   0   0
8 58897   2   1  96   0   0
9 59761   2   1  97   0   0
8 58719   2   1  97   0   0
8 59272   2   1  97   0   0
6 59846   2   1  96   0   0
5 61070   2   1  96   0   0
2 59091   2   1  96   0   0
1 59594   2   1  96   0   0
8 59887   3   2  96   0   0
4 60916   3   1  96   0   0
1 59730   3   1  96   0   0
4 60211   3   1  96   0   0
2 59871   2   1  97   0   0
2 60479   3   1  96   0   0
0 59771   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 60449   3   1  96   0   0
5 59887   3   1  96   0   0
3 61072   2   1  97   0   0
1 59038   3   1  96   0   0
7 60242   3   2  96   0   0
3 59899   2   1  96   0   0
0 60330   3   1  96   0   0
8 60056   3   1  96   0   0
2 58520   2   1  97   0   0
3 58980   2   1  97   0   0
3 59103   2   1  97   0   0
2 58976   2   1  97   0   0
8 58957   2   1  97   0   0
4 58383   2   1  97   0   0
8 58448   2   1  97   0   0
8 59447   3   1  96   0   0
7 58464   2   1  96   0   0
1 58157   2   1  97   0   0
7 58979   3   1  96   0   0
9 58388   2   1  97   0   0
2 58028   2   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
5 59843   2   1  97   0   0
8 59809   2   1  96   0   0
7 58480   2   1  97   0   0
7 59063   2   1  96   0   0
8 59009   2   1  97   0   0
7 59755   3   1  96   0   0
9 60060   2   1  97   0   0
7 58953   3   1  96   0   0
8 59979   3   1  96   0   0
9 60731   2   1  97   0   0
7 59068   3   1  96   0   0
9 59451   2   1  96   0   0
7 61092   3   1  96   0   0
8 60049   3   1  96   0   0
2 60356   2   2  96   0   0
1 62199   3   1  96   0   0
0 59898   2   1  96   0   0
7 60539   3   2  96   0   0
4 59206   3   2  95   0   0
1 61288   3   1  95   0   0
7 60956   3   2  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
7 60434   2   1  97   0   0
8 60341   3   1  96   0   0
6 61109   3   2  95   0   0
0 60044   3   1  96   0   0
5 61098   2   1  97   0   0
6 59762   2   1  96   0   0
6 58778   3   1  96   0   0
6 59350   3   1  96   0   0
2 60420   2   1  97   0   0
1 58779   2   1  97   0   0
8 59327   2   1  97   0   0
8 59714   2   1  97   0   0
5 57561   2   1  97   0   0
0 58591   3   1  96   0   0
3 58596   3   1  96   0   0
6 58704   2   1  97   0   0
8 59513   2   1  96   0   0
5 58111   2   1  96   0   0
4 59311   2   1  96   0   0
7 59532   2   1  97   0   0
3 59263   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 58911   2   1  97   0   0
