stem-- --------cpu--------
n   cs  us  sy  id  wa  st
3 58203   2   1  97   0   0
5 58430   3   1  96   0   0
5 58062   2   1  97   0   0
1 58972   2   1  97   0   0
6 59211   3   1  96   0   0
9 58206   2   1  97   0   0
9 58152   2   1  97   0   0
5 59026   2   1  97   0   0
3 59727   2   1  97   0   0
0 58521   2   1  96   0   0
8 58087   3   1  96   0   0
6 58174   2   1  96   0   0
2 59014   2   1  96   0   0
8 58365   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
5 58436   2   1  97   0   0
4 58743   3   1  96   0   0
9 57934   2   1  97   0   0
7 58163   2   1  97   0   0
5 58477   2   1  97   0   0
3 58188   2   1  96   0   0
8 59297   3   1  96   0   0
4 58683   3   2  96   0   0
9 58703   2   1  97   0   0
7 59110   3   2  96   0   0
8 60094   2   1  97   0   0
7 59970   2   1  97   0   0
6 59821   2   1  97   0   0
9 60068   2   1  96   0   0
0 60175   2   1  96   0   0
8 59736   3   1  95   0   0
5 59805   3   1  96   0   0
7 60351   3   1  95   0   0
6 60318   2   1  97   0   0
8 60338   2   2  96   0   0
1 59640   2   2  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
8 60473   3   1  96   0   0
6 60226   2   1  96   0   0
6 60401   3   1  95   0   0
0 59359   2   1  97   0   0
9 60530   2   1  96   0   0
9 59480   3   1  96   0   0
1 59683   2   1  97   0   0
4 59505   2   1  96   0   0
5 58437   2   1  97   0   0
6 59143   2   1  97   0   0
3 58948   2   1  96   0   0
5 58369   2   1  97   0   0
4 58714   3   1  96   0   0
4 58911   2   1  97   0   0
0 58235   3   1  96   0   0
0 58326   2   1  97   0   0
0 58929   2   1  97   0   0
0 58329   2   1  97   0   0
0 58223   2   1  97   0   0
7 58902   3   1  96   0   0
6 58712   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 59951   2   1  97   0   0
1 58397   2   1  96   0   0
4 59560   3   1  96   0   0
5 58930   2   1  97   0   0
0 58809   2   1  96   0   0
7 59091   2   1  97   0   0
1 59396   2   1  97   0   0
8 59181   2   1  96   0   0
1 59509   2   1  97   0   0
5 59441   2   1  96   0   0
5 60115   2   2  96   0   0
9 59500   3   1  96   0   0
5 60956   3   1  96   0   0
7 60014   3   1  96   0   0
4 59748   3   1  96   0   0
4 60355   2   1  96   0   0
3 59854   3   1  96   0   0
6 59869   2   1  97   0   0
0 59897   2   1  97   0   0
3 59911   2   1  97   0   0
7 61010   2   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
3 59375   3   1  96   0   0
2 59826   3   1  96   0   0
9 59724   3   1  96   0   0
4 60552   3   2  96   0   0
3 60036   3   2  96   0   0
4 59734   3   1  96   0   0
6 59654   2   1  97   0   0
6 59378   2   1  97   0   0
6 59711   2   1  97   0   0
6 59321   2   1  97   0   0
2 58943   2   1  96   0   0
8 58637   2   1  96   0   0
6 58453   3   1  96   0   0
5 58889   2   1  97   0   0
1 58466   2   1  97   0   0
5 59142   2   1  97   0   0
4 58977   3   1  96   0   0
1 58463   2   1  96   0   0
8 58887   2   1  97   0   0
4 59279   2   1  97   0   0
3 58565   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
6 58873   2   1  97   0   0
1 59122   2   1  97   0   0
5 59681   2   1  97   0   0
3 58373   2   1  96   0   0
7 59252   3   1  96   0   0
0 58890   3   1  96   0   0
4 59511   2   1  96   0   0
4 59418   2   1  97   0   0
2 59748   3   1  96   0   0
4 59584   2   1  97   0   0
0 60139   2   1  97   0   0
5 59158   1   1  97   0   0
5 58547   3   1  96   0   0
0 58784   3   2  96   0   0
3 59407   2   1  96   0   0
5 58953   3   1  96   0   0
6 59194   3   2  96   0   0
3 59096   2   1  96   0   0
9 59090   3   1  96   0   0
1 59817   2   1  97   0   0
1 59274   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
3 59245   3   1  95   0   0
0 59568   3   1  96   0   0
9 58601   3   1  95   0   0
3 58675   2   1  96   0   0
0 59405   2   1  97   0   0
0 59092   3   1  96   0   0
7 58587   3   1  96   0   0
1 58587   2   1  97   0   0
9 58502   2   1  97   0   0
7 60016   2   1  97   0   0
6 58606   2   1  97   0   0
4 57677   2   1  97   0   0
0 58565   2   1  96   0   0
5 58198   2   1  97   0   0
3 57575   3   1  96   0   0
2 57781   2   1  96   0   0
3 57994   1   1  97   0   0
7 58569   3   1  96   0   0
7 57614   2   1  97   0   0
6 57926   2   1  97   0   0
8 57926   2   1  97   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
5 58246   2   1  97   0   0
9 57956   2   1  97   0   0
1 57304   3   1  96   0   0
2 57934   2   1  97   0   0
4 58442   2   1  97   0   0
2 58036   2   1  96   0   0
2 58964   2   1  97   0   0
8 58640   3   1  96   0   0
4 58758   2   1  97   0   0
5 58547   2   1  97   0   0
2 58263   2   1  97   0   0
9 58432   2   1  97   0   0
0 59302   2   1  97   0   0
9 59206   2   1  97   0   0
9 58513   2   1  96   0   0
1 59326   2   1  97   0   0
8 59415   2   1  97   0   0
3 58532   2   1  97   0   0
1 58549   2   1  96   0   0
3 59611   3   1  96   0   0
8 59751   3   1  96   0   0
stem-- --------cpu--------
n   cs  us  sy  id  wa  st
1 58391   3   2  95   0   0
1 59590   3   1  96   0   0
4 58796   2   1  96   0   0
9 59797   3   2  96   0   0
3 59687   3   1  96   0   0
